ปวดข้อกระดูก โรคเก๊าท์,โรคข้อเสื่อม,โรครูมาตอยด์ โรคข้ออักเสบจากการติดเชื้อ
ปวดกระดูก โรคข้อเสื่อม,โรคกระดูกพรุน
ข้อบวม โรคข้อเสื่อม
ปวดเมื่อหยิบจับ โรคปลอกหุ้มเอ็นอักเสบ
เจ็บโคนนิ้ว โรคปลอกหุ้มเอ็นอักเสบ
มือชา โรคกดทับเส้นประสาทบริเวณข้อมือ
ไม่มีแรง โรคกดทับเส้นประสาทบริเวณข้อมือ
มีไข้สูง โรคไข้ปวดข้อยุงลาย,โรคชิคุนกุนยา
คันตามร่างกาย โรคไข้ปวดข้อยุงลาย,โรคชิคุนกุนยา
กล้ามเนื้อเกร็ง ภาวะแคลเซียมในเลือดต่ำ
ปวดหลัง ออฟฟิตซินโดรม
ปวดเอว ออฟฟิตซินโดรม
ปวดท้องรุนแรง ช่องท้องอักเสบ
ปัสสาวะสีเข้ม ช่องท้องอักเสบ
เสียงแหบ โรคกรดไหลย้อน
แน่นหน้าอก โรคกรดไหลย้อน
ปวดแสบปวดร้อนหน้าอก โรคกรดไหลย้อน
ปวดท้อง แผลเพ็ปติก,โรคลำไส้อักเสบ
ปวดท้องเรื้อรัง โรคลำไส้อักเสบ,โรคมะเร็งลำไส้ใหญ่
อุจจาระเหลวเป็นมูก โรคลำไส้อักเสบ
อุจจาระมีเลือด โรคลำไส้อักเสบ,โรคไส้เน่า
ปวดก้น โรคฝีที่ทวารหนัก
ปวดแก้มก้น โรคฝีที่ทวารหนัก
มีน้ำเหลืองออกจากผิวหนัง โรคฝีที่ทวารหนัก
มีเลือดออกจากก้น โรคริดสีดวงทวาร
มีติ่งเนื้อออกจากรูทวาร โรคริดสีดวงทวาร
ปวดท้องรุนแรง ไส้ติ่งอักเสบ
ปวดท้องด้านขวา ไส้ติ่งอักเสบ
ปวดท้องแบบบีบ โรคกระเพาะอาหาร
อึดอัดท้อง โรคกระเพาะอาหาร
ท้องเสีย โรคท้องร่วง
อุจจาระบ่อย โรคท้องร่วง
เวลาหายใจปวดตามชายโครง โรคถุงน้ำดีอักเสบ
ปวดบริเวณลิ้นปี่ โรคตับอ่อนอักเสบ
กล้ามเนื้อเกร็ง โรคแคลเซียมในเลือดต่ำ
เจ็บคอ คออักเสบ,โรคสมองอักเสบ
มีไข้สูง คออักเสบ
กลืนอาหารลำบาก โรคอะคาเลเซีย,โรคหลอดอาหารอักเสบ
อาเจียนหนัก โรคอะคาเลเซีย
เจ็บคอ โรคหลอดอาหารอักเสบ
เสมหะเป็นเลือด โรคมะเร็งหลอดอาหาร 
น้ำหนักลดอย่างรวดเร็ว โรคมะเร็งหลอดอาหาร 
เจ็บเวลากลืนอาหาร โรคมะเร็งหลอดอาหาร 
รู้สึกไม่สบายท้อง โรคมะเร็งกระเพาะอาหาร 
อุจจาระเป็นเลือด โรคมะเร็งกระเพาะอาหาร,โรคมะเร็งลำไส้ใหญ่
ตาเหลือง โรคมะเร็งกระเพาะอาหาร 
กดท้องแล้วเจ็บมาก โรคลำไส้ใหญ่อักเสบเรื้อรัง
ผิวซีด โรคลำไส้ใหญ่อักเสบเรื้อรัง
ปวดท้องตื้อๆ โรคมะเร็งลำไส้เล็ก 
เบื่ออาหาร โรคมะเร็งลำไส้เล็ก,โรคมะเร็งตับ
คลื่นไส้ โรคมะเร็งลำไส้เล็ก,โรคเวียนศรีษะ
